FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,"ECG
[E1]"
-27.958858,-1.725165,-185.6905,-1.7435535,128.73264,9.096472,0.0,-1.8801286,176.19745,-1.9125935,-149.02039,-1.7845075,109.76126,-2.0487187,-113.676025,-1.583917,-117.708084,-0.11040492,124.93007,9.103202
-43.82412,-1.1971841,-220.84479,-1.17222,98.38833,9.486533,0.0,-1.3507003,156.74469,-1.3889046,-170.37833,-1.2826502,88.86771,-1.3933464,-141.91861,-1.1413227,-144.33846,-0.16729961,97.78836,10.003664
-42.383034,-1.5155244,-239.10426,-1.5485156,86.98609,8.925747,0.0,-1.6572286,157.37006,-1.6965551,-170.1116,-1.6512879,84.06464,-1.5307887,-148.27127,-1.5627815,-154.74701,-0.18326728,91.57264,11.5341015
-29.342682,-2.3149767,-240.51265,-2.4637249,92.283966,7.90625,0.0,-2.4226859,173.61993,-2.4349773,-152.34056,-2.4784057,92.175606,-2.1738863,-137.75346,-2.4266555,-149.27527,-0.1731562,104.718414,12.922576
-16.106672,-2.8078518,-231.57835,-3.063976,105.472595,7.3293767,0.0,-2.8785124,195.08725,-2.8308287,-127.9594,-2.9597821,104.63597,-2.6090648,-121.50326,-2.930719,-134.06157,-0.17041862,128.16571,13.466581
-13.765572,-2.383158,-220.28851,-2.694205,116.73022,7.8556767,0.0,-2.447381,211.24529,-2.3322756,-108.500305,-2.504622,112.88348,-2.2508078,-110.45923,-2.4933085,-116.71961,-0.19804338,150.86008,12.760855
-28.323532,-1.0565168,-212.65215,-1.3687067,119.41405,9.440239,0.0,-1.1630346,215.63298,-1.014697,-101.652435,-1.1620456,112.35691,-1.07638,-110.95409,-1.173359,-103.30033,-0.24917893,164.21513,10.817206
-58.90646,0.52957505,-211.80653,0.24429284,111.530945,11.355797,0.0,0.3476394,207.04248,0.46583283,-109.702034,0.40914923,103.42754,0.35063213,-123.57364,0.36671457,-97.33471,-0.29442772,164.10693,8.033827
-98.83313,1.5105667,-218.60329,1.2592294,95.07143,12.639295,0.0,1.2630099,188.44118,1.2903336,-130.10117,1.3583502,89.83871,1.2422664,-144.44897,1.283302,-100.021545,-0.3058118,150.86678,5.0578
-138.40533,1.311706,-232.16513,1.1007446,74.457954,12.638361,0.0,1.0528446,165.11723,0.95909786,-156.90227,1.1432813,76.35554,1.0632707,-167.4239,1.0487807,-110.373695,-0.27567273,128.36966,2.5732713
-168.19331,-0.051316414,-249.82338,-0.209593,54.979282,11.326419,0.0,-0.24916361,143.05193,-0.45679745,-182.44588,-0.19474034,66.98745,-0.18013819,-186.06262,-0.28430915,-125.040085,-0.2173434,102.87615,1.0935131
-181.8996,-2.0264635,-266.96368,-2.1313362,41.47354,9.24863,0.0,-2.1121397,127.67156,-2.403193,-199.28073,-2.1039627,64.13144,-1.9853126,-195.25565,-2.167921,-138.46863,-0.15328282,81.64531,0.820351
